ContrastName	GenomeName
BeforeB_vs_AferS.Brain.Rabbit	Rabbit_UCSC.oryCun2_ensv101
BeforeB_vs_AferS.Cerebellum.Rabbit	Rabbit_UCSC.oryCun2_ensv101
BeforeB_vs_AferS.Liver.Rabbit	Rabbit_UCSC.oryCun2_ensv101
BeforeB_vs_AferS.Testis.Rabbit	Rabbit_UCSC.oryCun2_ensv101
BeforeB_vs_AferS.Kidney.Rabbit	Rabbit_UCSC.oryCun2_ensv101
BeforeB_vs_AferS.Heart.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
BeforeB_vs_AferS.Liver.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
BeforeB_vs_AferS.Ovary.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
BeforeB_vs_AferS.Testis.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
BeforeB_vs_AferS.Brain.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
BeforeB_vs_AferS.Kidney.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
BeforeB_vs_AferS.Cerebellum.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
BeforeB_vs_AferS.Heart.Rat	Rat_UCSC.rn7_RefSeqv108
BeforeB_vs_AferS.Brain.Rat	Rat_UCSC.rn7_RefSeqv108
BeforeB_vs_AferS.Testis.Rat	Rat_UCSC.rn7_RefSeqv108
BeforeB_vs_AferS.Liver.Rat	Rat_UCSC.rn7_RefSeqv108
BeforeB_vs_AferS.Ovary.Rat	Rat_UCSC.rn7_RefSeqv108
BeforeB_vs_AferS.Cerebellum.Rat	Rat_UCSC.rn7_RefSeqv108
BeforeB_vs_AferS.Kidney.Rat	Rat_UCSC.rn7_RefSeqv108
BeforeB_vs_AferS.Brain.Macaque	Macaque_UCSC.rheMac10_ensv101
BeforeB_vs_AferS.Cerebellum.Macaque	Macaque_UCSC.rheMac10_ensv101
BeforeB_vs_AferS.Kidney.Macaque	Macaque_UCSC.rheMac10_ensv101
BeforeB_vs_AferS.Heart.Macaque	Macaque_UCSC.rheMac10_ensv101
BeforeB_vs_AferS.Liver.Macaque	Macaque_UCSC.rheMac10_ensv101
BeforeB_vs_AferS.Testis.Macaque	Macaque_UCSC.rheMac10_ensv101
BeforeB_vs_AferS.Heart.Human	Human_UCSC.hg38_GencodeComprehensive46
BeforeB_vs_AferS.Cerebellum.Human	Human_UCSC.hg38_GencodeComprehensive46
BeforeB_vs_AferS.Liver.Human	Human_UCSC.hg38_GencodeComprehensive46
BeforeB_vs_AferS.Brain.Human	Human_UCSC.hg38_GencodeComprehensive46
BeforeB_vs_AferS.Testis.Human	Human_UCSC.hg38_GencodeComprehensive46
BeforeB_vs_AferS.Brain.Opossum	Opossum_UCSC.monDom5_ensvUnknown
BeforeB_vs_AferS.Heart.Opossum	Opossum_UCSC.monDom5_ensvUnknown
BeforeB_vs_AferS.Cerebellum.Opossum	Opossum_UCSC.monDom5_ensvUnknown
BeforeB_vs_AferS.Liver.Opossum	Opossum_UCSC.monDom5_ensvUnknown
FirstHalf_vs_SecondHalf.Heart.Chicken	Chicken_UCSC.galGal6_ensv101
FirstHalf_vs_SecondHalf.Kidney.Chicken	Chicken_UCSC.galGal6_ensv101
FirstHalf_vs_SecondHalf.Liver.Chicken	Chicken_UCSC.galGal6_ensv101
FirstHalf_vs_SecondHalf.Cerebellum.Chicken	Chicken_UCSC.galGal6_ensv101
FirstHalf_vs_SecondHalf.Testis.Chicken	Chicken_UCSC.galGal6_ensv101
FirstHalf_vs_SecondHalf.Brain.Chicken	Chicken_UCSC.galGal6_ensv101
FirstHalf_vs_SecondHalf.Ovary.Chicken	Chicken_UCSC.galGal6_ensv101
FirstHalf_vs_SecondHalf.Heart.Rabbit	Rabbit_UCSC.oryCun2_ensv101
FirstHalf_vs_SecondHalf.Ovary.Rabbit	Rabbit_UCSC.oryCun2_ensv101
FirstHalf_vs_SecondHalf.Brain.Rabbit	Rabbit_UCSC.oryCun2_ensv101
FirstHalf_vs_SecondHalf.Cerebellum.Rabbit	Rabbit_UCSC.oryCun2_ensv101
FirstHalf_vs_SecondHalf.Liver.Rabbit	Rabbit_UCSC.oryCun2_ensv101
FirstHalf_vs_SecondHalf.Testis.Rabbit	Rabbit_UCSC.oryCun2_ensv101
FirstHalf_vs_SecondHalf.Kidney.Rabbit	Rabbit_UCSC.oryCun2_ensv101
FirstHalf_vs_SecondHalf.Heart.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
FirstHalf_vs_SecondHalf.Liver.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
FirstHalf_vs_SecondHalf.Ovary.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
FirstHalf_vs_SecondHalf.Testis.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
FirstHalf_vs_SecondHalf.Brain.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
FirstHalf_vs_SecondHalf.Kidney.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
FirstHalf_vs_SecondHalf.Cerebellum.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
FirstHalf_vs_SecondHalf.Heart.Rat	Rat_UCSC.rn7_RefSeqv108
FirstHalf_vs_SecondHalf.Brain.Rat	Rat_UCSC.rn7_RefSeqv108
FirstHalf_vs_SecondHalf.Testis.Rat	Rat_UCSC.rn7_RefSeqv108
FirstHalf_vs_SecondHalf.Liver.Rat	Rat_UCSC.rn7_RefSeqv108
FirstHalf_vs_SecondHalf.Ovary.Rat	Rat_UCSC.rn7_RefSeqv108
FirstHalf_vs_SecondHalf.Cerebellum.Rat	Rat_UCSC.rn7_RefSeqv108
FirstHalf_vs_SecondHalf.Kidney.Rat	Rat_UCSC.rn7_RefSeqv108
FirstHalf_vs_SecondHalf.Heart.Macaque	Macaque_UCSC.rheMac10_ensv101
FirstHalf_vs_SecondHalf.Cerebellum.Macaque	Macaque_UCSC.rheMac10_ensv101
FirstHalf_vs_SecondHalf.Kidney.Macaque	Macaque_UCSC.rheMac10_ensv101
FirstHalf_vs_SecondHalf.Liver.Macaque	Macaque_UCSC.rheMac10_ensv101
FirstHalf_vs_SecondHalf.Testis.Macaque	Macaque_UCSC.rheMac10_ensv101
FirstHalf_vs_SecondHalf.Brain.Macaque	Macaque_UCSC.rheMac10_ensv101
FirstHalf_vs_SecondHalf.Heart.Human	Human_UCSC.hg38_GencodeComprehensive46
FirstHalf_vs_SecondHalf.Kidney.Human	Human_UCSC.hg38_GencodeComprehensive46
FirstHalf_vs_SecondHalf.Cerebellum.Human	Human_UCSC.hg38_GencodeComprehensive46
FirstHalf_vs_SecondHalf.Liver.Human	Human_UCSC.hg38_GencodeComprehensive46
FirstHalf_vs_SecondHalf.Brain.Human	Human_UCSC.hg38_GencodeComprehensive46
FirstHalf_vs_SecondHalf.Testis.Human	Human_UCSC.hg38_GencodeComprehensive46
FirstHalf_vs_SecondHalf.Ovary.Human	Human_UCSC.hg38_GencodeComprehensive46
FirstHalf_vs_SecondHalf.Brain.Opossum	Opossum_UCSC.monDom5_ensvUnknown
FirstHalf_vs_SecondHalf.Heart.Opossum	Opossum_UCSC.monDom5_ensvUnknown
FirstHalf_vs_SecondHalf.Cerebellum.Opossum	Opossum_UCSC.monDom5_ensvUnknown
FirstHalf_vs_SecondHalf.Kidney.Opossum	Opossum_UCSC.monDom5_ensvUnknown
FirstHalf_vs_SecondHalf.Liver.Opossum	Opossum_UCSC.monDom5_ensvUnknown
FirstHalf_vs_SecondHalf.Ovary.Opossum	Opossum_UCSC.monDom5_ensvUnknown
FirstHalf_vs_SecondHalf.Testis.Opossum	Opossum_UCSC.monDom5_ensvUnknown
First10_vs_Second10.Brain.Chicken	Chicken_UCSC.galGal6_ensv101
First10_vs_Second10.Cerebellum.Chicken	Chicken_UCSC.galGal6_ensv101
First10_vs_Second10.Heart.Chicken	Chicken_UCSC.galGal6_ensv101
